Year,State,Census population
1930,Guam,18509
1940,Guam,22290
1950,Guam,59498
1870,Hawaii,0
1880,Hawaii,0
1890,Hawaii,0
1900,Hawaii,154001
1910,Hawaii,191909
1920,Hawaii,255912
1930,Hawaii,368336
1940,Hawaii,423330
1950,Hawaii,499794
1870,Idaho,14999
1880,Idaho,32610
1890,Idaho,88548
1900,Idaho,161772
1910,Idaho,325594
1920,Idaho,431866
1930,Idaho,445032
1940,Idaho,524873
1950,Idaho,588637
1870,Illinois,2539891
1880,Illinois,3077871
1890,Illinois,3826351
1900,Illinois,4821550
1910,Illinois,5638591
1920,Illinois,6485280
1930,Illinois,7630654
1940,Illinois,7897241
1950,Illinois,8712176
1870,Indiana,1680637
1880,Indiana,1978301
1890,Indiana,2192404
1900,Indiana,2516462
1910,Indiana,2700876
1920,Indiana,2930390
1930,Indiana,3238503
1940,Indiana,3427796
1950,Indiana,3934224
1870,Iowa,1194020
1880,Iowa,1624615
1890,Iowa,1912297
1900,Iowa,2231853
1910,Iowa,2224771
1920,Iowa,2404021
1930,Iowa,2470939
1940,Iowa,2538268
1950,Iowa,2621073
1870,Kansas,364399
1880,Kansas,996096
1890,Kansas,1428108
1900,Kansas,1470495
1910,Kansas,1690949
1920,Kansas,1769257
1930,Kansas,1880999
1940,Kansas,1801028
1950,Kansas,1905299
1870,Kentucky,1321011
1880,Kentucky,1648690
1890,Kentucky,1858635
1900,Kentucky,2147174
1910,Kentucky,2289905
1920,Kentucky,2416630
1930,Kentucky,2614589
1940,Kentucky,2845627
1950,Kentucky,2944806
1870,Louisiana,726915
1880,Louisiana,939946
1890,Louisiana,1118587
1900,Louisiana,1381625
1910,Louisiana,1656388
1920,Louisiana,1798509
1930,Louisiana,2101593
1940,Louisiana,2363880
1950,Louisiana,2683516
1870,Maine,626915
1880,Maine,648936
1890,Maine,661086
1900,Maine,694466
1910,Maine,742371
1920,Maine,768014
1930,Maine,797423
1940,Maine,847226
1950,Maine,913774
1870,Maryland,780894
1880,Maryland,934943
1890,Maryland,1042390
1900,Maryland,1188044
1910,Maryland,1295346
1920,Maryland,1449661
1930,Maryland,1631526
1940,Maryland,1821244
1950,Maryland,2343001
1870,Massachusetts,1457351
1880,Massachusetts,1783085
1890,Massachusetts,2238943
1900,Massachusetts,2805346
1910,Massachusetts,3366416
1920,Massachusetts,3852356
1930,Massachusetts,4249614
1940,Massachusetts,4316721
1950,Massachusetts,4690514
1870,Michigan,1184059
1880,Michigan,1636937
1890,Michigan,2093889
1900,Michigan,2420982
1910,Michigan,2810173
1920,Michigan,3668412
1930,Michigan,4842325
1940,Michigan,5256106
1950,Michigan,6371766
1870,Minnesota,439706
1880,Minnesota,780773
1890,Minnesota,1310283
1900,Minnesota,1751394
1910,Minnesota,2075708
1920,Minnesota,2387125
1930,Minnesota,2563953
1940,Minnesota,2792300
1950,Minnesota,2982483
1870,Mississippi,827922
1880,Mississippi,1131597
1890,Mississippi,1289600
1900,Mississippi,1551270
1910,Mississippi,1797114
1920,Mississippi,1790618
1930,Mississippi,2009821
1940,Mississippi,2183796
1950,Mississippi,2178914
1870,Missouri,1721295
1880,Missouri,2168380
1890,Missouri,2679184
1900,Missouri,3106665
1910,Missouri,3293335
1920,Missouri,3404055
1930,Missouri,3629367
1940,Missouri,3784664
1950,Missouri,3954653
1870,Montana,20595
1880,Montana,39159
1890,Montana,142924
1900,Montana,243329
1910,Montana,376053
1920,Montana,548889
1930,Montana,537606
1940,Montana,559456
1950,Montana,591024
1870,Nebraska,122993
1880,Nebraska,452402
1890,Nebraska,1062656
1900,Nebraska,1066300
1910,Nebraska,1192214
1920,Nebraska,1296372
1930,Nebraska,1377963
1940,Nebraska,1315834
1950,Nebraska,1325510
1870,Nevada,42491
1880,Nevada,62266
1890,Nevada,47355
1900,Nevada,42335
1910,Nevada,81875
1920,Nevada,77407
1930,Nevada,91058
1940,Nevada,110247
1950,Nevada,160083
1870,New Hampshire,318300
1880,New Hampshire,346991
1890,New Hampshire,376530
1900,New Hampshire,411588
1910,New Hampshire,430572
1920,New Hampshire,443083
1930,New Hampshire,465293
1940,New Hampshire,491524
1950,New Hampshire,533242
1870,New Jersey,906096
1880,New Jersey,1131116
1890,New Jersey,1444933
1900,New Jersey,1883669
1910,New Jersey,2537167
1920,New Jersey,3155900
1930,New Jersey,4041334
1940,New Jersey,4160165
1950,New Jersey,4835329
1870,New Mexico,91874
1880,New Mexico,119565
1890,New Mexico,160282
1900,New Mexico,195310
1910,New Mexico,327301
1920,New Mexico,360350
1930,New Mexico,423317
1940,New Mexico,531818
1950,New Mexico,681187
1870,New York (state),4382759
1880,New York (state),5082871
1890,New York (state),6003174
1900,New York (state),7268894
1910,New York (state),9113614
1920,New York (state),10385227
1930,New York (state),12588066
1940,New York (state),13479142
1950,New York (state),14830192
1870,North Carolina,1071361
1880,North Carolina,1399750
1890,North Carolina,1617947
1900,North Carolina,1893810
1910,North Carolina,2206287
1920,North Carolina,2559123
1930,North Carolina,3170276
1940,North Carolina,3571623
1950,North Carolina,4061929
1870,North Dakota,2405
1880,North Dakota,36909
1890,North Dakota,190983
1900,North Dakota,319146
1910,North Dakota,577056
1920,North Dakota,646872
1930,North Dakota,680845
1940,North Dakota,641935
1950,North Dakota,619636
1870,Ohio,2665260
1880,Ohio,3198062
1890,Ohio,3672316
1900,Ohio,4157545
1910,Ohio,4767121
1920,Ohio,5759394
1930,Ohio,6646697
1940,Ohio,6907612
1950,Ohio,7946627
1870,Oklahoma,0
1880,Oklahoma,0
1890,Oklahoma,25865714
1900,Oklahoma,79039115
1910,Oklahoma,1657155
1920,Oklahoma,2028283
1930,Oklahoma,2396040
1940,Oklahoma,2336434
1950,Oklahoma,2233351
1870,Oregon,90923
1880,Oregon,174768
1890,Oregon,317704
1900,Oregon,413536
1910,Oregon,672765
1920,Oregon,783389
1930,Oregon,953786
1940,Oregon,1089684
1950,Oregon,1521341
1870,Panama Canal Zone,0
1880,Panama Canal Zone,0
1890,Panama Canal Zone,0
1900,Panama Canal Zone,0
1910,Panama Canal Zone,0
1920,Panama Canal Zone,22858
1930,Panama Canal Zone,39467
1940,Panama Canal Zone,51827
1950,Panama Canal Zone,52822
1870,Pennsylvania,3521951
1880,Pennsylvania,4282891
1890,Pennsylvania,5258014
1900,Pennsylvania,6302115
1910,Pennsylvania,7665111
1920,Pennsylvania,8720017
1930,Pennsylvania,9631350
1940,Pennsylvania,9900180
1950,Pennsylvania,10498012
1870,Puerto Rico,0
1880,Puerto Rico,0
1890,Puerto Rico,0
1900,Puerto Rico,0
1910,Puerto Rico,1118012
1920,Puerto Rico,1299809
1930,Puerto Rico,1543913
1940,Puerto Rico,1869255
1950,Puerto Rico,2210703
1870,Rhode Island,217353
1880,Rhode Island,276531
1890,Rhode Island,345506
1900,Rhode Island,428556
1910,Rhode Island,542610
1920,Rhode Island,604397
1930,Rhode Island,687497
1940,Rhode Island,713346
1950,Rhode Island,791896
1870,South Carolina,705606
1880,South Carolina,995577
1890,South Carolina,1151149
1900,South Carolina,1340316
1910,South Carolina,1515400
1920,South Carolina,1683724
1930,South Carolina,1738765
1940,South Carolina,1899804
1950,South Carolina,2117027
1870,South Dakota,11776
1880,South Dakota,98268
1890,South Dakota,348600
1900,South Dakota,401570
1910,South Dakota,583888
1920,South Dakota,636547
1930,South Dakota,692849
1940,South Dakota,642961
1950,South Dakota,652740
1870,Tennessee,1258520
1880,Tennessee,1542359
1890,Tennessee,1767518
1900,Tennessee,2020616
1910,Tennessee,2184789
1920,Tennessee,2337885
1930,Tennessee,2616556
1940,Tennessee,2915841
1950,Tennessee,3291718
1870,Texas,818579
1880,Texas,1591749
1890,Texas,2235523
1900,Texas,3048710
1910,Texas,3896542
1920,Texas,4663228
1930,Texas,5824715
1940,Texas,6414824
1950,Texas,7711194
1870,United States Virgin Islands,0
1880,United States Virgin Islands,0
1890,United States Virgin Islands,0
1900,United States Virgin Islands,0
1910,United States Virgin Islands,0
1920,United States Virgin Islands,0
1930,United States Virgin Islands,22012
1940,United States Virgin Islands,39467
1950,United States Virgin Islands,51827
1870,Utah,86336
1880,Utah,143963
1890,Utah,210779
1900,Utah,276749
1910,Utah,373351
1920,Utah,449396
1930,Utah,507847
1940,Utah,550310
1950,Utah,688862
1870,Vermont,330551
1880,Vermont,332286
1890,Vermont,332422
1900,Vermont,343641
1910,Vermont,355956
1920,Vermont,352428
1930,Vermont,359611
1940,Vermont,359231
1950,Vermont,377747
1870,Virginia,1225163
1880,Virginia,1512565
1890,Virginia,1655980
1900,Virginia,1854184
1910,Virginia,2061612
1920,Virginia,2309187
1930,Virginia,2421851
1940,Virginia,2677773
1950,Virginia,3318680
1870,Washington (state),23955
1880,Washington (state),75116
1890,Washington (state),357232
1900,Washington (state),518103
1910,Washington (state),1141990
1920,Washington (state),1356621
1930,Washington (state),1563396
1940,Washington (state),1736191
1950,Washington (state),2378963
1870,West Virginia,442014
1880,West Virginia,618457
1890,West Virginia,762794
1900,West Virginia,958800
1910,West Virginia,1221119
1920,West Virginia,1463701
1930,West Virginia,1729205
1940,West Virginia,1901974
1950,West Virginia,2005552
1870,Wisconsin,1054670
1880,Wisconsin,1315497
1890,Wisconsin,1693330
1900,Wisconsin,2069042
1910,Wisconsin,2333860
1920,Wisconsin,2632067
1930,Wisconsin,2939006
1940,Wisconsin,3137587
1950,Wisconsin,3434575
1870,Wyoming,9118
1880,Wyoming,20789
1890,Wyoming,60705
1900,Wyoming,92531
1910,Wyoming,145965
1920,Wyoming,194402
1930,Wyoming,225565
1940,Wyoming,250742
1950,Wyoming,290529
1870,United States,38558371
1880,United States,50155783
1890,United States,6297878017
1900,United States,75994575
1910,United States,91972266
1920,United States,105710620
1930,United States,122775046
