Year,Electoral college vote count,State,Census year reference,Census population
1792,0,Alabama,1790,0
1796,0,Alabama,1790,0
1800,0,Alabama,1790,0
1804,0,Alabama,1800,1250
1808,0,Alabama,1800,1250
1812,0,Alabama,1810,9046
1816,0,Alabama,1810,9046
1820,3,Alabama,1810,9046
1824,5,Alabama,1820,127901
1828,5,Alabama,1820,127901
1832,7,Alabama,1830,309527
1836,7,Alabama,1830,309527
1840,7,Alabama,1830,309527
1844,9,Alabama,1840,590756
1848,9,Alabama,1840,590756
1852,9,Alabama,1850,771623
1856,9,Alabama,1850,771623
1860,9,Alabama,1850,771623
1864,0,Alabama,1860,964201
1868,8,Alabama,1860,964201
1872,10,Alabama,1870,996992
1876,10,Alabama,1870,996992
1880,10,Alabama,1870,996992
1884,10,Alabama,1880,1262505
1888,10,Alabama,1880,1262505
1892,11,Alabama,1890,1513017
1896,11,Alabama,1890,1513017
1900,11,Alabama,1890,1513017
1904,11,Alabama,1900,1828697
1908,11,Alabama,1900,1828697
1912,12,Alabama,1910,2138093
1916,12,Alabama,1910,2138093
1920,12,Alabama,1910,2138093
1924,12,Alabama,1920,2348174
1928,12,Alabama,1920,2348174
1932,11,Alabama,1930,2646248
1936,11,Alabama,1930,2646248
1940,11,Alabama,1930,2646248
1944,11,Alabama,1940,2832961
1948,11,Alabama,1940,2832961
1952,11,Alabama,1950,3061743
1956,11,Alabama,1950,3061743
1960,11,Alabama,1950,3061743
1964,10,Alabama,1960,3266740
1968,10,Alabama,1960,3266740
1972,9,Alabama,1970,3444165
1976,9,Alabama,1970,3444165
1980,9,Alabama,1970,3444165
1984,9,Alabama,1980,3893888
1988,9,Alabama,1980,3893888
1992,9,Alabama,1990,4040587
1996,9,Alabama,1990,4040587
2000,9,Alabama,1990,4040587
2004,9,Alabama,2000,4447100
2008,9,Alabama,2000,4447100
2012,9,Alabama,2010,4779736
2016,9,Alabama,2010,4779736
2020,9,Alabama,2010,4779736
1792,0,Alaska,1790,0
1796,0,Alaska,1790,0
1800,0,Alaska,1790,0
1804,0,Alaska,1800,0
1808,0,Alaska,1800,0
1812,0,Alaska,1810,0
1816,0,Alaska,1810,0
1820,0,Alaska,1810,0
1824,0,Alaska,1820,0
1828,0,Alaska,1820,0
1832,0,Alaska,1830,0
1836,0,Alaska,1830,0
1840,0,Alaska,1830,0
1844,0,Alaska,1840,0
1848,0,Alaska,1840,0
1852,0,Alaska,1850,0
1856,0,Alaska,1850,0
1860,0,Alaska,1850,0
1864,0,Alaska,1860,0
1868,0,Alaska,1860,0
1872,0,Alaska,1870,0
1876,0,Alaska,1870,0
1880,0,Alaska,1870,0
1884,0,Alaska,1880,0
1888,0,Alaska,1880,0
1892,0,Alaska,1890,33426
1896,0,Alaska,1890,33426
1900,0,Alaska,1890,33426
1904,0,Alaska,1900,32052
1908,0,Alaska,1900,32052
1912,0,Alaska,1910,64356
1916,0,Alaska,1910,64356
1920,0,Alaska,1910,64356
1924,0,Alaska,1920,55036
1928,0,Alaska,1920,55036
1932,0,Alaska,1930,59278
1936,0,Alaska,1930,59278
1940,0,Alaska,1930,59278
1944,0,Alaska,1940,72524
1948,0,Alaska,1940,72524
1952,0,Alaska,1950,128643
1956,0,Alaska,1950,128643
1960,3,Alaska,1950,128643
1964,3,Alaska,1960,226167
1968,3,Alaska,1960,226167
1972,3,Alaska,1970,300382
1976,3,Alaska,1970,300382
1980,3,Alaska,1970,300382
1984,3,Alaska,1980,401851
1988,3,Alaska,1980,401851
1992,3,Alaska,1990,550043
1996,3,Alaska,1990,550043
2000,3,Alaska,1990,550043
2004,3,Alaska,2000,626932
2008,3,Alaska,2000,626932
2012,3,Alaska,2010,710231
2016,3,Alaska,2010,710231
2020,3,Alaska,2010,710231
1792,0,Arizona,1790,0
1796,0,Arizona,1790,0
1800,0,Arizona,1790,0
1804,0,Arizona,1800,0
1808,0,Arizona,1800,0
1812,0,Arizona,1810,0
1816,0,Arizona,1810,0
1820,0,Arizona,1810,0
1824,0,Arizona,1820,0
1828,0,Arizona,1820,0
1832,0,Arizona,1830,0
1836,0,Arizona,1830,0
1840,0,Arizona,1830,0
1844,0,Arizona,1840,0
1848,0,Arizona,1840,0
1852,0,Arizona,1850,0
1856,0,Arizona,1850,0
1860,0,Arizona,1850,0
1864,0,Arizona,1860,0
1868,0,Arizona,1860,0
1872,0,Arizona,1870,9658
1876,0,Arizona,1870,9658
1880,0,Arizona,1870,9658
1884,0,Arizona,1880,40440
1888,0,Arizona,1880,40440
1892,0,Arizona,1890,88243
1896,0,Arizona,1890,88243
1900,0,Arizona,1890,88243
1904,0,Arizona,1900,122931
1908,0,Arizona,1900,122931
1912,3,Arizona,1910,204354
1916,3,Arizona,1910,204354
1920,3,Arizona,1910,204354
1924,3,Arizona,1920,334162
1928,3,Arizona,1920,334162
1932,3,Arizona,1930,435573
1936,3,Arizona,1930,435573
1940,3,Arizona,1930,435573
1944,4,Arizona,1940,499261
1948,4,Arizona,1940,499261
1952,4,Arizona,1950,749587
1956,4,Arizona,1950,749587
1960,4,Arizona,1950,749587
1964,5,Arizona,1960,1302161
1968,5,Arizona,1960,1302161
1972,6,Arizona,1970,1770900
1976,6,Arizona,1970,1770900
1980,6,Arizona,1970,1770900
1984,7,Arizona,1980,2718215
1988,7,Arizona,1980,2718215
1992,8,Arizona,1990,3665228
1996,8,Arizona,1990,3665228
2000,8,Arizona,1990,3665228
2004,10,Arizona,2000,5130632
2008,10,Arizona,2000,5130632
2012,11,Arizona,2010,6392017
2016,11,Arizona,2010,6392017
2020,11,Arizona,2010,6392017
1792,0,Arkansas,1790,0
1796,0,Arkansas,1790,0
1800,0,Arkansas,1790,0
1804,0,Arkansas,1800,0
1808,0,Arkansas,1800,0
1812,0,Arkansas,1810,1062
1816,0,Arkansas,1810,1062
1820,0,Arkansas,1810,1062
1824,0,Arkansas,1820,14273
1828,0,Arkansas,1820,14273
1832,0,Arkansas,1830,30388
1836,3,Arkansas,1830,30388
1840,3,Arkansas,1830,30388
1844,3,Arkansas,1840,97574
1848,3,Arkansas,1840,97574
1852,4,Arkansas,1850,209897
1856,4,Arkansas,1850,209897
1860,4,Arkansas,1850,209897
1864,0,Arkansas,1860,435450
1868,5,Arkansas,1860,435450
1872,6,Arkansas,1870,484471
1876,6,Arkansas,1870,484471
1880,6,Arkansas,1870,484471
1884,7,Arkansas,1880,802525
1888,7,Arkansas,1880,802525
1892,8,Arkansas,1890,1128211
1896,8,Arkansas,1890,1128211
1900,8,Arkansas,1890,1128211
1904,9,Arkansas,1900,1311564
1908,9,Arkansas,1900,1311564
1912,9,Arkansas,1910,1574449
1916,9,Arkansas,1910,1574449
1920,9,Arkansas,1910,1574449
1924,9,Arkansas,1920,1752204
1928,9,Arkansas,1920,1752204
1932,9,Arkansas,1930,1854482
1936,9,Arkansas,1930,1854482
1940,9,Arkansas,1930,1854482
1944,9,Arkansas,1940,1949387
1948,9,Arkansas,1940,1949387
1952,8,Arkansas,1950,1909511
1956,8,Arkansas,1950,1909511
1960,8,Arkansas,1950,1909511
1964,6,Arkansas,1960,1786272
1968,6,Arkansas,1960,1786272
1972,6,Arkansas,1970,1923295
1976,6,Arkansas,1970,1923295
1980,6,Arkansas,1970,1923295
1984,6,Arkansas,1980,2286435
1988,6,Arkansas,1980,2286435
1992,6,Arkansas,1990,2350725
1996,6,Arkansas,1990,2350725
2000,6,Arkansas,1990,2350725
2004,6,Arkansas,2000,2673400
2008,6,Arkansas,2000,2673400
2012,6,Arkansas,2010,2915918
2016,6,Arkansas,2010,2915918
2020,6,Arkansas,2010,2915918
1792,0,California,1790,0
1796,0,California,1790,0
1800,0,California,1790,0
1804,0,California,1800,0
1808,0,California,1800,0
1812,0,California,1810,0
1816,0,California,1810,0
1820,0,California,1810,0
1824,0,California,1820,0
1828,0,California,1820,0
1832,0,California,1830,0
1836,0,California,1830,0
1840,0,California,1830,0
1844,0,California,1840,0
1848,0,California,1840,0
1852,4,California,1850,92597
1856,4,California,1850,92597
1860,4,California,1850,92597
1864,5,California,1860,379994
1868,5,California,1860,379994
1872,6,California,1870,560247
1876,6,California,1870,560247
1880,6,California,1870,560247
1884,8,California,1880,864694
1888,8,California,1880,864694
1892,9,California,1890,1213398
1896,9,California,1890,1213398
1900,9,California,1890,1213398
1904,10,California,1900,1485053
1908,10,California,1900,1485053
1912,13,California,1910,2377549
1916,13,California,1910,2377549
1920,13,California,1910,2377549
1924,13,California,1920,3426861
1928,13,California,1920,3426861
1932,22,California,1930,5677251
1936,22,California,1930,5677251
1940,22,California,1930,5677251
1944,25,California,1940,6907387
1948,25,California,1940,6907387
1952,32,California,1950,10586223
1956,32,California,1950,10586223
1960,32,California,1950,10586223
1964,40,California,1960,15717204
1968,40,California,1960,15717204
1972,45,California,1970,19953134
1976,45,California,1970,19953134
1980,45,California,1970,19953134
1984,47,California,1980,23667902
1988,47,California,1980,23667902
1992,54,California,1990,29760021
1996,54,California,1990,29760021
2000,54,California,1990,29760021
2004,55,California,2000,33871648
2008,55,California,2000,33871648
2012,55,California,2010,37253956
2016,55,California,2010,37253956
2020,55,California,2010,37253956
1792,0,Colorado,1790,0
1796,0,Colorado,1790,0
1800,0,Colorado,1790,0
1804,0,Colorado,1800,0
1808,0,Colorado,1800,0
1812,0,Colorado,1810,0
1816,0,Colorado,1810,0
1820,0,Colorado,1810,0
1824,0,Colorado,1820,0
1828,0,Colorado,1820,0
1832,0,Colorado,1830,0
1836,0,Colorado,1830,0
1840,0,Colorado,1830,0
1844,0,Colorado,1840,0
1848,0,Colorado,1840,0
1852,0,Colorado,1850,0
1856,0,Colorado,1850,0
1860,0,Colorado,1850,0
1864,0,Colorado,1860,34277
1868,0,Colorado,1860,34277
1872,0,Colorado,1870,39864
1876,3,Colorado,1870,39864
1880,3,Colorado,1870,39864
1884,3,Colorado,1880,194327
1888,3,Colorado,1880,194327
1892,4,Colorado,1890,413249
1896,4,Colorado,1890,413249
1900,4,Colorado,1890,413249
1904,5,Colorado,1900,539700
1908,5,Colorado,1900,539700
1912,6,Colorado,1910,799024
1916,6,Colorado,1910,799024
1920,6,Colorado,1910,799024
1924,6,Colorado,1920,939629
1928,6,Colorado,1920,939629
1932,6,Colorado,1930,1035791
1936,6,Colorado,1930,1035791
1940,6,Colorado,1930,1035791
1944,6,Colorado,1940,1123296
1948,6,Colorado,1940,1123296
1952,6,Colorado,1950,1325089
1956,6,Colorado,1950,1325089
1960,6,Colorado,1950,1325089
1964,6,Colorado,1960,1753947
1968,6,Colorado,1960,1753947
1972,7,Colorado,1970,2207259
1976,7,Colorado,1970,2207259
1980,7,Colorado,1970,2207259
1984,8,Colorado,1980,2889964
1988,8,Colorado,1980,2889964
1992,8,Colorado,1990,3294394
1996,8,Colorado,1990,3294394
2000,8,Colorado,1990,3294394
2004,9,Colorado,2000,4301261
2008,9,Colorado,2000,4301261
2012,9,Colorado,2010,5029196
2016,9,Colorado,2010,5029196
2020,9,Colorado,2010,5029196
1792,9,Connecticut,1790,237946
1796,9,Connecticut,1790,237946
1800,9,Connecticut,1790,237946
1804,9,Connecticut,1800,251002
1808,9,Connecticut,1800,251002
1812,9,Connecticut,1810,262042
1816,9,Connecticut,1810,262042
1820,9,Connecticut,1810,262042
1824,8,Connecticut,1820,275202
1828,8,Connecticut,1820,275202
1832,8,Connecticut,1830,297675
1836,8,Connecticut,1830,297675
1840,8,Connecticut,1830,297675
1844,6,Connecticut,1840,309978
1848,6,Connecticut,1840,309978
1852,6,Connecticut,1850,370792
1856,6,Connecticut,1850,370792
1860,6,Connecticut,1850,370792
1864,6,Connecticut,1860,460147
1868,6,Connecticut,1860,460147
1872,6,Connecticut,1870,537454
1876,6,Connecticut,1870,537454
1880,6,Connecticut,1870,537454
1884,6,Connecticut,1880,622700
1888,6,Connecticut,1880,622700
1892,6,Connecticut,1890,746258
1896,6,Connecticut,1890,746258
1900,6,Connecticut,1890,746258
1904,7,Connecticut,1900,908420
1908,7,Connecticut,1900,908420
1912,7,Connecticut,1910,1114756
1916,7,Connecticut,1910,1114756
1920,7,Connecticut,1910,1114756
1924,7,Connecticut,1920,1380631
1928,7,Connecticut,1920,1380631
1932,8,Connecticut,1930,1606903
1936,8,Connecticut,1930,1606903
1940,8,Connecticut,1930,1606903
1944,8,Connecticut,1940,1709242
1948,8,Connecticut,1940,1709242
1952,8,Connecticut,1950,2007280
1956,8,Connecticut,1950,2007280
1960,8,Connecticut,1950,2007280
1964,8,Connecticut,1960,2535234
1968,8,Connecticut,1960,2535234
1972,8,Connecticut,1970,3031709
1976,8,Connecticut,1970,3031709
1980,8,Connecticut,1970,3031709
1984,8,Connecticut,1980,3107576
1988,8,Connecticut,1980,3107576
1992,8,Connecticut,1990,3287116
1996,8,Connecticut,1990,3287116
2000,8,Connecticut,1990,3287116
2004,7,Connecticut,2000,3405565
2008,7,Connecticut,2000,3405565
2012,7,Connecticut,2010,3574097
2016,7,Connecticut,2010,3574097
2020,7,Connecticut,2010,3574097
1792,3,Delaware,1790,59096
1796,3,Delaware,1790,59096
1800,3,Delaware,1790,59096
1804,3,Delaware,1800,64273
1808,3,Delaware,1800,64273
1812,4,Delaware,1810,72674
1816,4,Delaware,1810,72674
1820,4,Delaware,1810,72674
1824,3,Delaware,1820,72749
1828,3,Delaware,1820,72749
1832,3,Delaware,1830,76748
1836,3,Delaware,1830,76748
1840,3,Delaware,1830,76748
1844,3,Delaware,1840,78085
1848,3,Delaware,1840,78085
1852,3,Delaware,1850,91532
1856,3,Delaware,1850,91532
1860,3,Delaware,1850,91532
1864,3,Delaware,1860,112216
1868,3,Delaware,1860,112216
1872,3,Delaware,1870,125015
1876,3,Delaware,1870,125015
1880,3,Delaware,1870,125015
1884,3,Delaware,1880,146608
1888,3,Delaware,1880,146608
1892,3,Delaware,1890,168493
1896,3,Delaware,1890,168493
1900,3,Delaware,1890,168493
1904,3,Delaware,1900,184735
1908,3,Delaware,1900,184735
1912,3,Delaware,1910,202322
1916,3,Delaware,1910,202322
1920,3,Delaware,1910,202322
1924,3,Delaware,1920,223003
1928,3,Delaware,1920,223003
1932,3,Delaware,1930,238380
1936,3,Delaware,1930,238380
1940,3,Delaware,1930,238380
1944,3,Delaware,1940,266505
1948,3,Delaware,1940,266505
1952,3,Delaware,1950,318085
1956,3,Delaware,1950,318085
1960,3,Delaware,1950,318085
1964,3,Delaware,1960,446292
1968,3,Delaware,1960,446292
1972,3,Delaware,1970,548104
1976,3,Delaware,1970,548104
1980,3,Delaware,1970,548104
1984,3,Delaware,1980,594338
1988,3,Delaware,1980,594338
1992,3,Delaware,1990,666168
1996,3,Delaware,1990,666168
2000,3,Delaware,1990,666168
2004,3,Delaware,2000,783600
2008,3,Delaware,2000,783600
2012,3,Delaware,2010,897934
2016,3,Delaware,2010,897934
2020,3,Delaware,2010,897934
1792,0,Florida,1790,0
1796,0,Florida,1790,0
1800,0,Florida,1790,0
1804,0,Florida,1800,0
1808,0,Florida,1800,0
1812,0,Florida,1810,0
1816,0,Florida,1810,0
1820,0,Florida,1810,0
1824,0,Florida,1820,0
1828,0,Florida,1820,0
1832,0,Florida,1830,34730
1836,0,Florida,1830,34730
1840,0,Florida,1830,34730
1844,0,Florida,1840,54477
1848,3,Florida,1840,54477
1852,3,Florida,1850,87445
1856,3,Florida,1850,87445
1860,3,Florida,1850,87445
1864,0,Florida,1860,140424
1868,3,Florida,1860,140424
1872,4,Florida,1870,187748
1876,4,Florida,1870,187748
1880,4,Florida,1870,187748
1884,4,Florida,1880,269493
1888,4,Florida,1880,269493
1892,4,Florida,1890,391422
1896,4,Florida,1890,391422
1900,4,Florida,1890,391422
1904,5,Florida,1900,528542
1908,5,Florida,1900,528542
1912,6,Florida,1910,752619
1916,6,Florida,1910,752619
1920,6,Florida,1910,752619
1924,6,Florida,1920,968470
1928,6,Florida,1920,968470
1932,7,Florida,1930,1468211
1936,7,Florida,1930,1468211
1940,7,Florida,1930,1468211
1944,8,Florida,1940,1897414
1948,8,Florida,1940,1897414
1952,10,Florida,1950,2771305
1956,10,Florida,1950,2771305
1960,10,Florida,1950,2771305
1964,14,Florida,1960,4951560
1968,14,Florida,1960,4951560
1972,17,Florida,1970,6789443
1976,17,Florida,1970,6789443
1980,17,Florida,1970,6789443
1984,21,Florida,1980,9746324
1988,21,Florida,1980,9746324
1992,25,Florida,1990,12937926
1996,25,Florida,1990,12937926
2000,25,Florida,1990,12937926
2004,27,Florida,2000,15982378
2008,27,Florida,2000,15982378
2012,29,Florida,2010,18801310
2016,29,Florida,2010,18801310
2020,29,Florida,2010,18801310
1792,0,Hawaii,1790,0
1796,0,Hawaii,1790,0
1800,0,Hawaii,1790,0
1804,0,Hawaii,1800,0
1808,0,Hawaii,1800,0
1812,0,Hawaii,1810,0
1816,0,Hawaii,1810,0
1820,0,Hawaii,1810,0
1824,0,Hawaii,1820,0
1828,0,Hawaii,1820,0
1832,0,Hawaii,1830,0
1836,0,Hawaii,1830,0
1840,0,Hawaii,1830,0
1844,0,Hawaii,1840,0
1848,0,Hawaii,1840,0
1852,0,Hawaii,1850,0
1856,0,Hawaii,1850,0
1860,0,Hawaii,1850,0
1864,0,Hawaii,1860,0
1868,0,Hawaii,1860,0
1872,0,Hawaii,1870,0
1876,0,Hawaii,1870,0
1880,0,Hawaii,1870,0
1884,0,Hawaii,1880,0
1888,0,Hawaii,1880,0
1892,0,Hawaii,1890,0
1896,0,Hawaii,1890,0
1900,0,Hawaii,1890,0
1904,0,Hawaii,1900,154001
1908,0,Hawaii,1900,154001
1912,0,Hawaii,1910,191909
1916,0,Hawaii,1910,191909
1920,0,Hawaii,1910,191909
1924,0,Hawaii,1920,255912
1928,0,Hawaii,1920,255912
1932,0,Hawaii,1930,368336
1936,0,Hawaii,1930,368336
1940,0,Hawaii,1930,368336
1944,0,Hawaii,1940,423330
1948,0,Hawaii,1940,423330
1952,0,Hawaii,1950,499794
1956,0,Hawaii,1950,499794
1960,3,Hawaii,1950,499794
1964,4,Hawaii,1960,632772
1968,4,Hawaii,1960,632772
1972,4,Hawaii,1970,768561
1976,4,Hawaii,1970,768561
1980,4,Hawaii,1970,768561
1984,4,Hawaii,1980,964691
1988,4,Hawaii,1980,964691
1992,4,Hawaii,1990,1108229
1996,4,Hawaii,1990,1108229
2000,4,Hawaii,1990,1108229
2004,4,Hawaii,2000,1211537
2008,4,Hawaii,2000,1211537
2012,4,Hawaii,2010,1360301
2016,4,Hawaii,2010,1360301
2020,4,Hawaii,2010,1360301
1792,0,Idaho,1790,0
1796,0,Idaho,1790,0
1800,0,Idaho,1790,0
1804,0,Idaho,1800,0
1808,0,Idaho,1800,0
1812,0,Idaho,1810,0
1816,0,Idaho,1810,0
1820,0,Idaho,1810,0
1824,0,Idaho,1820,0
1828,0,Idaho,1820,0
1832,0,Idaho,1830,0
1836,0,Idaho,1830,0
1840,0,Idaho,1830,0
1844,0,Idaho,1840,0
1848,0,Idaho,1840,0
1852,0,Idaho,1850,0
1856,0,Idaho,1850,0
1860,0,Idaho,1850,0
1864,0,Idaho,1860,0
1868,0,Idaho,1860,0
1872,0,Idaho,1870,14999
1876,0,Idaho,1870,14999
1880,0,Idaho,1870,14999
1884,0,Idaho,1880,32610
1888,0,Idaho,1880,32610
1892,3,Idaho,1890,88548
1896,3,Idaho,1890,88548
1900,3,Idaho,1890,88548
1904,3,Idaho,1900,161772
1908,3,Idaho,1900,161772
1912,4,Idaho,1910,325594
1916,4,Idaho,1910,325594
1920,4,Idaho,1910,325594
1924,4,Idaho,1920,431866
1928,4,Idaho,1920,431866
1932,4,Idaho,1930,445032
1936,4,Idaho,1930,445032
1940,4,Idaho,1930,445032
1944,4,Idaho,1940,524873
1948,4,Idaho,1940,524873
1952,4,Idaho,1950,588637
1956,4,Idaho,1950,588637
1960,4,Idaho,1950,588637
1964,4,Idaho,1960,667191
1968,4,Idaho,1960,667191
1972,4,Idaho,1970,712567
1976,4,Idaho,1970,712567
1980,4,Idaho,1970,712567
1984,4,Idaho,1980,943935
1988,4,Idaho,1980,943935
1992,4,Idaho,1990,1006749
1996,4,Idaho,1990,1006749
2000,4,Idaho,1990,1006749
2004,4,Idaho,2000,1293953
2008,4,Idaho,2000,1293953
2012,4,Idaho,2010,1567582
2016,4,Idaho,2010,1567582
2020,4,Idaho,2010,1567582
1792,0,Illinois,1790,0
1796,0,Illinois,1790,0
1800,0,Illinois,1790,0
1804,0,Illinois,1800,2458
1808,0,Illinois,1800,2458
1812,0,Illinois,1810,12282
1816,0,Illinois,1810,12282
1820,3,Illinois,1810,12282
1824,3,Illinois,1820,55211
1828,3,Illinois,1820,55211
1832,5,Illinois,1830,157445
1836,5,Illinois,1830,157445
1840,5,Illinois,1830,157445
1844,9,Illinois,1840,476183
1848,9,Illinois,1840,476183
1852,11,Illinois,1850,851470
1856,11,Illinois,1850,851470
1860,11,Illinois,1850,851470
1864,16,Illinois,1860,1711951
1868,16,Illinois,1860,1711951
1872,21,Illinois,1870,2539891
1876,21,Illinois,1870,2539891
1880,21,Illinois,1870,2539891
1884,22,Illinois,1880,3077871
1888,22,Illinois,1880,3077871
1892,24,Illinois,1890,3826351
1896,24,Illinois,1890,3826351
1900,24,Illinois,1890,3826351
1904,27,Illinois,1900,4821550
1908,27,Illinois,1900,4821550
1912,29,Illinois,1910,5638591
1916,29,Illinois,1910,5638591
1920,29,Illinois,1910,5638591
1924,29,Illinois,1920,6485280
1928,29,Illinois,1920,6485280
1932,29,Illinois,1930,7630654
1936,29,Illinois,1930,7630654
1940,29,Illinois,1930,7630654
1944,28,Illinois,1940,7897241
1948,28,Illinois,1940,7897241
1952,27,Illinois,1950,8712176
1956,27,Illinois,1950,8712176
1960,27,Illinois,1950,8712176
1964,26,Illinois,1960,10081158
1968,26,Illinois,1960,10081158
1972,26,Illinois,1970,11113976
1976,26,Illinois,1970,11113976
1980,26,Illinois,1970,11113976
1984,24,Illinois,1980,11426518
1988,24,Illinois,1980,11426518
1992,22,Illinois,1990,11430602
1996,22,Illinois,1990,11430602
2000,22,Illinois,1990,11430602
2004,21,Illinois,2000,12419293
2008,21,Illinois,2000,12419293
2012,20,Illinois,2010,12830632
2016,20,Illinois,2010,12830632
2020,20,Illinois,2010,12830632
1792,0,Indiana,1790,0
1796,0,Indiana,1790,0
1800,0,Indiana,1790,0
1804,0,Indiana,1800,2632
1808,0,Indiana,1800,2632
1812,0,Indiana,1810,24520
1816,3,Indiana,1810,24520
1820,3,Indiana,1810,24520
1824,5,Indiana,1820,147178
1828,5,Indiana,1820,147178
1832,9,Indiana,1830,343031
1836,9,Indiana,1830,343031
1840,9,Indiana,1830,343031
1844,12,Indiana,1840,685866
1848,12,Indiana,1840,685866
1852,13,Indiana,1850,988416
1856,13,Indiana,1850,988416
1860,13,Indiana,1850,988416
1864,13,Indiana,1860,1350428
1868,13,Indiana,1860,1350428
1872,15,Indiana,1870,1680637
1876,15,Indiana,1870,1680637
1880,15,Indiana,1870,1680637
1884,15,Indiana,1880,1978301
1888,15,Indiana,1880,1978301
1892,15,Indiana,1890,2192404
1896,15,Indiana,1890,2192404
1900,15,Indiana,1890,2192404
1904,15,Indiana,1900,2516462
1908,15,Indiana,1900,2516462
1912,15,Indiana,1910,2700876
1916,15,Indiana,1910,2700876
1920,15,Indiana,1910,2700876
1924,15,Indiana,1920,2930390
1928,15,Indiana,1920,2930390
1932,14,Indiana,1930,3238503
1936,14,Indiana,1930,3238503
1940,14,Indiana,1930,3238503
1944,13,Indiana,1940,3427796
1948,13,Indiana,1940,3427796
1952,13,Indiana,1950,3934224
1956,13,Indiana,1950,3934224
1960,13,Indiana,1950,3934224
1964,13,Indiana,1960,4662498
1968,13,Indiana,1960,4662498
1972,13,Indiana,1970,5193669
1976,13,Indiana,1970,5193669
1980,13,Indiana,1970,5193669
1984,12,Indiana,1980,5490224
1988,12,Indiana,1980,5490224
1992,12,Indiana,1990,5544159
1996,12,Indiana,1990,5544159
2000,12,Indiana,1990,5544159
2004,11,Indiana,2000,6080485
2008,11,Indiana,2000,6080485
2012,11,Indiana,2010,6483802
2016,11,Indiana,2010,6483802
2020,11,Indiana,2010,6483802
1792,0,Iowa,1790,0
1796,0,Iowa,1790,0
1800,0,Iowa,1790,0
1804,0,Iowa,1800,0
1808,0,Iowa,1800,0
1812,0,Iowa,1810,0
1816,0,Iowa,1810,0
1820,0,Iowa,1810,0
1824,0,Iowa,1820,0
1828,0,Iowa,1820,0
1832,0,Iowa,1830,0
1836,0,Iowa,1830,0
1840,0,Iowa,1830,0
1844,0,Iowa,1840,43112
1848,4,Iowa,1840,43112
1852,4,Iowa,1850,192214
1856,4,Iowa,1850,192214
1860,4,Iowa,1850,192214
1864,8,Iowa,1860,674913
1868,8,Iowa,1860,674913
1872,11,Iowa,1870,1194020
1876,11,Iowa,1870,1194020
1880,11,Iowa,1870,1194020
1884,13,Iowa,1880,1624615
1888,13,Iowa,1880,1624615
1892,13,Iowa,1890,1912297
1896,13,Iowa,1890,1912297
1900,13,Iowa,1890,1912297
1904,13,Iowa,1900,2231853
1908,13,Iowa,1900,2231853
1912,13,Iowa,1910,2224771
1916,13,Iowa,1910,2224771
1920,13,Iowa,1910,2224771
1924,13,Iowa,1920,2404021
1928,13,Iowa,1920,2404021
1932,11,Iowa,1930,2470939
1936,11,Iowa,1930,2470939
1940,11,Iowa,1930,2470939
1944,10,Iowa,1940,2538268
1948,10,Iowa,1940,2538268
1952,10,Iowa,1950,2621073
1956,10,Iowa,1950,2621073
1960,10,Iowa,1950,2621073
1964,9,Iowa,1960,2757537
1968,9,Iowa,1960,2757537
1972,8,Iowa,1970,2824376
1976,8,Iowa,1970,2824376
1980,8,Iowa,1970,2824376
1984,8,Iowa,1980,2913808
1988,8,Iowa,1980,2913808
1992,7,Iowa,1990,2776755
1996,7,Iowa,1990,2776755
2000,7,Iowa,1990,2776755
2004,7,Iowa,2000,2926324
2008,7,Iowa,2000,2926324
2012,6,Iowa,2010,3046355
2016,6,Iowa,2010,3046355
2020,6,Iowa,2010,3046355
1792,0,Kansas,1790,0
1796,0,Kansas,1790,0
1800,0,Kansas,1790,0
1804,0,Kansas,1800,0
1808,0,Kansas,1800,0
1812,0,Kansas,1810,0
1816,0,Kansas,1810,0
1820,0,Kansas,1810,0
1824,0,Kansas,1820,0
1828,0,Kansas,1820,0
1832,0,Kansas,1830,0
1836,0,Kansas,1830,0
1840,0,Kansas,1830,0
1844,0,Kansas,1840,0
1848,0,Kansas,1840,0
1852,0,Kansas,1850,0
1856,0,Kansas,1850,0
1860,0,Kansas,1850,0
1864,3,Kansas,1860,107206
1868,3,Kansas,1860,107206
1872,5,Kansas,1870,364399
1876,5,Kansas,1870,364399
1880,5,Kansas,1870,364399
1884,9,Kansas,1880,996096
1888,9,Kansas,1880,996096
1892,10,Kansas,1890,1428108
1896,10,Kansas,1890,1428108
1900,10,Kansas,1890,1428108
1904,10,Kansas,1900,1470495
1908,10,Kansas,1900,1470495
1912,10,Kansas,1910,1690949
1916,10,Kansas,1910,1690949
1920,10,Kansas,1910,1690949
1924,10,Kansas,1920,1769257
1928,10,Kansas,1920,1769257
1932,9,Kansas,1930,1880999
1936,9,Kansas,1930,1880999
1940,9,Kansas,1930,1880999
1944,8,Kansas,1940,1801028
1948,8,Kansas,1940,1801028
1952,8,Kansas,1950,1905299
1956,8,Kansas,1950,1905299
1960,8,Kansas,1950,1905299
1964,7,Kansas,1960,2178611
1968,7,Kansas,1960,2178611
1972,7,Kansas,1970,2246578
1976,7,Kansas,1970,2246578
1980,7,Kansas,1970,2246578
1984,7,Kansas,1980,2363679
1988,7,Kansas,1980,2363679
1992,6,Kansas,1990,2477574
1996,6,Kansas,1990,2477574
2000,6,Kansas,1990,2477574
2004,6,Kansas,2000,2688418
